Estação;N__Lab_;X;Y;Folha;Ag (ppm);Al (%);As (ppm);Ba (ppm);Be (ppm);Bi (ppm);Ca (%);Cd (ppm);Ce (ppm);Co (ppm);Cr (ppm);Cs (ppm);Cu (ppm);Fe (%);Ga (ppm);Hf (ppm);Hg (ppm);In (ppm);K (%);La (ppm);Li (ppm);LREE (ppm);Mg (%);Mn (ppm);Mo (ppm);Nb (ppm);Ni (ppm);P (ppm);Pb (ppm);Rb (ppm);Sb (ppm);Sc (ppm);Sn (ppm);Sr (ppm);Th (ppm);Ti (%);U (ppm);V (ppm);W (ppm);Y (ppm);Zn (ppm);Zr (ppm)
ED0023;CDP 547;281455;7929509;Monte Carmelo;0.01;2.88;4.0;64.0;0.7;0.3;0.02;0.02;77.58;5.5;27;2.22;21.0;4.27;10.3;0.05;0.02;0.04;0.13;22.1;7.0;99.68;0.04;243;0.54;4.21;10.9;228.0;16.2;17.5;0.61;7.7;1.1;1.2;11.0;0.01;0.85;72;0.9;2.14;22;15.6
ED0024;CDP 548;281588;7926050;Monte Carmelo;0.01;1.14;3.0;53.0;0.9;0.23;0.02;0.05;66.38;11.0;26;1.0;24.1;3.82;6.7;0.05;0.02;0.02;0.1;24.7;3.0;91.08;0.04;255;0.46;0.25;19.7;414.0;20.3;8.6;0.39;4.3;0.5;0.5;7.5;0.01;0.72;38;0.2;2.88;35;8.2
ED0025;CDP 549;274159;7927512;Monte Carmelo;0.01;0.88;4.0;71.0;0.7;0.15;0.05;0.1;45.49;15.8;27;0.74;18.2;3.19;4.4;0.05;0.02;0.02;0.1;17.5;8.0;62.99;0.15;641;1.53;0.71;21.6;417.0;11.4;7.4;0.25;3.2;0.3;2.7;3.5;0.01;0.54;27;0.1;7.25;49;3.2
ED0026;CDP 550;274563;7927810;Monte Carmelo;0.01;0.55;4.0;55.0;0.7;0.18;0.06;0.05;31.18;10.7;18;0.68;9.6;2.72;3.0;0.05;0.02;0.02;0.08;13.3;3.0;44.48;0.04;356;0.82;0.72;11.7;261.0;11.9;6.4;0.29;2.3;0.3;0.6;4.0;0.01;0.48;18;0.1;2.61;25;1.9
ED0027;CDP 551;278888;7948395;Monte Carmelo;0.01;2.26;1.0;90.0;1.3;0.12;0.02;0.04;90.22;7.3;118;1.56;25.0;4.14;11.8;0.11;0.03;0.07;0.07;35.6;3.0;125.82;0.04;168;0.84;3.0;22.0;299.0;6.8;7.4;0.31;13.7;2.5;4.7;8.6;0.06;1.41;103;0.1;7.82;15;31.2
ED0028;CDP 552;278110;7948405;Monte Carmelo;0.01;2.47;7.0;162.0;3.0;0.14;0.05;0.06;159.33;10.9;364;2.17;39.1;10.62;19.1;0.05;0.03;0.15;0.1;55.2;6.0;214.53;0.06;314;1.35;4.22;32.4;1148.0;12.1;14.7;1.46;29.4;4.6;13.6;16.7;0.06;2.29;228;0.3;15.21;28;51.1
ED0029;CDP 553;278752;7950523;Monte Carmelo;0.01;1.6;2.0;82.0;0.8;0.1;0.02;0.03;59.34;8.0;121;0.96;18.4;4.38;8.0;0.13;0.02;0.05;0.05;23.2;2.0;82.54;0.04;253;0.97;2.36;19.0;305.0;6.4;5.2;0.25;9.4;1.9;4.2;6.9;0.07;1.04;97;0.2;5.86;13;32.6
ED0030A;CDP 554;281336;7950614;Monte Carmelo;0.01;0.74;9.0;93.0;1.9;0.25;0.17;0.22;50.4;18.5;35;0.72;21.2;4.72;5.2;0.05;0.02;0.03;0.09;18.7;4.0;69.1;0.05;603;0.86;0.57;30.0;1146.0;12.8;6.3;0.53;5.4;0.8;6.0;5.5;0.01;0.87;36;0.2;7.04;60;10.1
ED0031;CDP 555;281410;7952590;Monte Carmelo;0.01;0.55;4.0;48.0;0.7;0.15;0.03;0.05;46.41;13.3;51;0.58;10.7;3.71;4.2;0.05;0.02;0.02;0.05;19.0;2.0;65.41;0.03;228;0.65;0.7;16.2;305.0;10.9;4.5;0.31;3.8;0.5;0.5;4.0;0.01;0.59;36;0.1;2.53;22;8.7
ED0032;CDP 556;279729;7944430;Monte Carmelo;0.01;3.18;2.0;97.0;1.7;0.21;0.03;0.06;109.89;9.0;191;2.07;37.4;4.97;17.7;0.2;0.06;0.12;0.05;59.8;2.0;169.69;0.04;211;0.91;2.94;29.2;468.0;10.2;6.1;0.39;19.5;4.0;4.1;10.7;0.08;2.03;145;0.1;11.89;19;35.9
ED0033;CDP 557;288910;7938690;Monte Carmelo;0.01;1.42;8.0;60.0;1.0;0.31;0.01;0.02;77.17;7.6;29;1.11;20.3;4.5;8.1;0.05;0.03;0.04;0.07;35.3;4.0;112.47;0.04;244;1.56;1.49;11.0;216.0;17.2;8.1;0.71;5.7;0.9;0.5;8.4;0.01;0.91;54;0.7;3.7;24;6.0
ED0034;CDP 558;278050;7942990;Monte Carmelo;0.01;1.96;3.0;198.0;1.9;0.17;0.05;0.12;123.47;32.3;161;1.49;31.2;6.79;13.7;0.23;0.04;0.09;0.15;43.0;6.0;166.47;0.13;1182;1.08;3.55;40.6;461.0;16.2;17.8;0.71;16.1;3.3;10.3;10.6;0.08;1.36;125;0.2;9.71;39;51.0
ED0035;CDP 559;274537;7939782;Monte Carmelo;0.01;3.06;11.0;113.0;1.2;0.29;0.06;0.06;74.11;11.0;77;1.82;31.4;6.05;15.4;0.05;0.03;0.07;0.11;25.6;7.0;99.71;0.06;619;1.33;0.96;20.9;415.0;15.5;14.4;1.3;15.3;2.9;6.5;7.5;0.01;1.39;104;0.2;13.06;30;15.2
ED0036;CDP 560;274870;7940101;Monte Carmelo;0.01;1.03;2.0;71.0;1.0;0.13;0.02;0.04;60.43;7.8;64;1.07;17.3;3.04;6.6;0.16;0.02;0.03;0.08;21.9;4.0;82.33;0.07;183;0.52;0.95;15.9;295.0;10.6;9.0;0.26;6.8;1.0;4.1;5.7;0.02;0.77;52;0.1;6.94;25;18.0
ED0037;CDP 561;272222;7943120;Monte Carmelo;0.01;1.69;21.0;116.0;1.7;0.23;0.03;0.09;73.61;15.4;70;2.41;31.1;4.92;9.2;0.05;0.06;0.06;0.29;28.0;8.0;101.61;0.12;405;1.72;2.12;20.9;345.0;14.0;26.7;0.66;11.8;2.0;8.3;8.8;0.04;1.31;84;0.2;11.04;46;9.6
ED0038;CDP 562;266768;7941949;Monte Carmelo;0.01;0.92;6.0;68.0;1.0;0.17;0.04;0.02;49.62;7.5;23;1.43;11.1;1.71;4.6;0.05;0.05;0.03;0.15;20.9;3.0;70.52;0.08;647;0.55;0.52;4.8;128.0;7.8;18.3;0.17;5.4;1.3;6.1;6.7;0.02;1.11;29;0.2;7.28;13;3.0
ED0039;CDP 563;265050;7943261;Monte Carmelo;0.01;1.29;1.0;116.0;1.3;0.17;0.06;0.02;42.87;12.7;31;1.87;15.3;2.87;6.0;0.05;0.05;0.03;0.2;17.3;6.0;60.17;0.1;1536;0.81;0.64;8.3;150.0;7.6;23.1;0.23;7.5;1.5;7.9;6.0;0.04;1.06;41;0.1;7.05;19;3.6
